CASA,FORA,GOLS_CASA,GOLS_FORA,TEMPORADA
Atalanta,Lazio,0,0,2526
Milan,Fiorentina,2,1,2526
Cremonese,Udinese,1,1,2526
Milan,Pisa,2,2,2526
Parma,Como,0,0,2526
Udinese,Lecce,3,2,2526
Napoli,Inter,3,1,2526
Cremonese,Atalanta,1,1,2526
Torino,Genoa,2,1,2526
Sassuolo,Roma,0,1,2526
Verona,Cagliari,2,2,2526
Fiorentina,Bologna,2,2,2526
Lazio,Juventus,1,0,2526
Lecce,Napoli,0,1,2526
Atalanta,Milan,1,1,2526
Como,Verona,3,1,2526
Juventus,Udinese,3,1,2526
Roma,Parma,2,1,2526
Bologna,Torino,0,0,2526
Genoa,Cremonese,0,2,2526
Inter,Fiorentina,3,0,2526
Cagliari,Sassuolo,1,2,2526
Pisa,Lazio,0,0,2526
Udinese,Atalanta,1,0,2526
Napoli,Como,0,0,2526
Cremonese,Juventus,1,2,2526
Verona,Inter,1,2,2526
Fiorentina,Lecce,0,1,2526
Torino,Pisa,2,2,2526
Parma,Bologna,1,3,2526
Milan,Roma,1,0,2526
Sassuolo,Genoa,1,2,2526
Lazio,Cagliari,2,0,2526
Pisa,Cremonese,1,0,2526
Como,Cagliari,0,0,2526
Lecce,Verona,0,0,2526
Juventus,Torino,0,0,2526
Parma,Milan,2,2,2526
Atalanta,Sassuolo,0,3,2526
Bologna,Napoli,2,0,2526
Genoa,Fiorentina,2,2,2526
Roma,Udinese,2,0,2526
Inter,Lazio,2,0,2526
